ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
183,Atti degli Apostoli,L'Arresto di Paolo nel Tempio di Gerusalemme,Atti 21,20:00,"Ecco a voi in 2 minuti: la fortezza d'animo tra il frastuono della violenza. Entrato nel tempio di Gerusalemme, Paolo è falsamente accusato di profanare il luogo sacro e una folla inferocita cerca di togliergli la vita. Il tribuno romano interviene tempestivamente con i soldati, lo sottrae al linciaggio e lo fa legare con due catene. Giunto sui gradini della fortezza Antonia, Paolo chiede con garbo di parlare al popolo: ottiene il silenzio e comincia a raccontare in lingua ebraica la sua conversione. La pacatezza risponde al furore.",Pronto
184,Atti degli Apostoli,Il Nipote di Paolo Sventa la Congiura,Atti 23,20:00,"Ecco a voi in 2 minuti: il coraggio accorto di un giovane che salva una vita. Più di quaranta uomini legano se stessi con giuramento di non mangiare né bere finché non abbiano ucciso Paolo mediante un agguato. Ma il figlio della sorella di Paolo viene a sapere della congiura, entra nella fortezza romana e avverte lo zio, che lo manda dal tribuno. Il magistrato ascolta il giovane con attenzione, gli ordina il silenzio e allestisce una scorta armata notturna per condurre Paolo al sicuro a Cesarea. La provvidenza usa mani giovani per proteggere la giustizia.",Pronto
185,Atti degli Apostoli,La Testimonianza Davanti al Governatore Felice,Atti 24,20:00,"Ecco a voi in 2 minuti: la retta coscienza che non accetta compromessi. A Cesarea Marittima, accusato ingiustamente davanti al governatore Felice, Paolo si difende con limpidezza dimostrando la sua innocenza. Nei giorni successivi Felice lo fa chiamare per ascoltarlo: quando Paolo parla di giustizia, padronanza di sé e del giudizio futuro, il governatore trema intimorito e lo rimanda ad altro tempo. Paolo rimane custodito ma sereno. Chi cammina nella verità possiede una libertà interiore che nessun potere può confinare.",Pronto
186,Atti degli Apostoli,L'Appello Solenne a Cesare Davanti a Festo,Atti 25,20:00,"Ecco a voi in 2 minuti: il diritto di cittadinanza al servizio della missione. Succeduto a Felice, il nuovo governatore Porcio Festo propone a Paolo di salire a Gerusalemme per essere giudicato, assecondando i suoi nemici. Ma Paolo, consapevole delle insidie mortali della strada, fa valere il suo diritto di cittadino romano: «Sto davanti al tribunale di Cesare, dove devo essere giudicato. Non ho fatto alcun torto: mi appello a Cesare!» Festo risponde: «Ti sei appellato a Cesare? A Cesare andrai!» La via per Roma è aperta.",Pronto
187,Atti degli Apostoli,La Difesa Appassionata Davanti al Re Agrippa,Atti 26,20:00,"Ecco a voi in 2 minuti: la nobiltà del prigioniero davanti alla corte regale. Davanti al re Erode Agrippa e alla principessa Berenice, Paolo stende la mano incatenata ed espone con dignità la sua giovinezza, l'incontro con la luce celeste e la speranza nella risurrezione. Il re ammette: «Per poco non mi convinci a diventare cristiano!» E Paolo replica con nobile affetto: «Piacesse a Dio che per poco o per molto non solo tu, ma tutti quelli che mi ascoltano diventassero come me, all'infuori di queste catene!» La verità nobilita l'anima.",Pronto
188,Atti degli Apostoli,La Tempesta Euroaquilone nel Mar Mediterraneo,Atti 27,20:00,"Ecco a voi in 2 minuti: il buio della burrasca marina che cancella le stelle. Imbarcato per Roma come prigioniero, la nave di Paolo viene investita vicino a Creta da un vento tempestoso chiamato Euroaquilone. Per quattordici giorni la nave va alla deriva senza scorgere né sole né stelle, tra onde gigantesche che costringono i marinai a gettare in mare il carico e gli attrezzi della nave. Ogni speranza di scampare sembra ormai perduta, ma la voce di un solo uomo giusto conserva la luce della fiducia nell'abisso.",Pronto
189,Atti degli Apostoli,L'Angelo della Notte Rassicura sulla Nave,Atti 27,20:00,"Ecco a voi in 2 minuti: la parola di speranza nel cuore dell'uragano. Mentre tutti a bordo digiunano disperati da giorni, Paolo si alza in mezzo a loro e dichiara con serenità: «Amici, vi esorto a stare di buon animo: nessuna vita andrà perduta, ma solo la nave! Questa notte infatti mi è apparso un angelo del Dio al quale appartengo e che servo, dicendomi: Non temere, Paolo; tu devi comparire davanti a Cesare, ed ecco, Dio ti ha fatto grazia di tutti i tuoi compagni di navigazione.» La fede dona coraggio nel pericolo.",Pronto
190,Atti degli Apostoli,Lo Spezzare del Pane a Bordo della Nave,Atti 27,20:00,"Ecco a voi in 2 minuti: il conforto del pasto condiviso prima del naufragio. Sul far del giorno, sapendo che l'impatto con la terra è vicino, Paolo esorta tutti i duecentosettantasei passeggeri a prendere cibo per la loro salvezza: «Nessun capello del vostro capo andrà perduto!» Prende del pane, rende grazie a Dio in presenza di tutti, lo spezza e comincia a mangiare. Rianimati da quel gesto di pace, anche tutti gli altri prendono cibo rinvigorendo le forze per affrontare le onde. La serenità si trasmette come balsamo.",Pronto
191,Atti degli Apostoli,Il Naufragio e la Salvezza a Malta,Atti 28,20:00,"Ecco a voi in 2 minuti: l'approdo sicuro tra i flutti infranti. La nave urta contro una secca tra due mari e la prua si incaglia immobile, mentre la poppa comincia a sfasciarsi sotto la violenza dei marosi. Il centurione ordina a quanti sanno nuotare di gettarsi per primi in mare e raggiungere la terraferma, e agli altri di salvarsi su tavole o rottami della nave. Così avviene che tutti raggiungono la riva sani e salvi: l'isola si chiama Malta e gli abitanti dimostrano un'umanità non comune accogliendoli con fuochi accesi.",Pronto
192,Atti degli Apostoli,La Vipera Scossa nel Fuoco a Malta,Atti 28,20:00,"Ecco a voi in 2 minuti: la protezione divina che vince il veleno. Poiché piove e fa freddo, Paolo raccoglie un fascio di rami secchi e lo getta sul fuoco; per il calore ne esce una vipera velenosa che gli si attacca alla mano. Gli isolani, vedendo la serpe pendere dal suo braccio, pensano a una giustizia vendicativa; ma Paolo scuote la vipera nel fuoco senza patire alcun danno. Dopo aver atteso invano che si gonfi o cada morto, riconoscono la mano di Dio su di lui. Nessun male può ferire chi compie il bene.",Pronto
193,Atti degli Apostoli,La Guarigione del Padre di Publio a Malta,Atti 28,20:00,"Ecco a voi in 2 minuti: il ristoro donato a un'intera isola accogliente. Il governatore dell'isola, Publio, accoglie con generosità i naufraghi per tre giorni. Suo padre giace a letto tormentato da febbre e dissenteria; Paolo si reca da lui, prega, gli impone le mani e lo guarisce. Avvenuto questo, anche tutti gli altri malati dell'isola si presentano e vengono risanati. Quando ripartono dopo tre mesi, gli isolani ricolmano la nave di ogni provvista necessaria con grande affetto. La gratitudine unisce i popoli.",Pronto
194,Atti degli Apostoli,L'Arrivo al Foro Appio e l'Accoglienza a Roma,Atti 28,20:00,"Ecco a voi in 2 minuti: l'abbraccio fraterno alle porte della capitale dell'impero. Sbarcati a Pozzuoli e risalendo la via Appia verso Roma, i fratelli della città vengono incontro a Paolo fino al Foro Appio e alle Tre Taverne. Vedendoli giungere con gioia per accoglierlo, Paolo rende grazie a Dio e prende coraggio, sentendo di non essere solo nelle sue catene. Entrato a Roma, gli viene concesso di abitare per conto suo con un soldato di guardia. La solidarietà fraterna rischiara anche il carcere.",Pronto
195,Atti degli Apostoli,Due Anni a Roma Annunciando il Regno,Atti 28,20:00,"Ecco a voi in 2 minuti: la parola libera e senza impedimento nel cuore dell'impero. A Roma Paolo prende alloggio in una casa presa in affitto, dove trascorre due anni interi accogliendo tutti quelli che vanno a trovarlo. A ciascuno annuncia il regno di Dio e insegna le cose riguardanti il Signore Gesù con tutta franchezza e senza alcun impedimento. Le catene stringono il corpo dell'apostolo, ma il messaggio della grazia corre libero per il mondo. Nessun confine può arrestare la speranza eterna.",Pronto
196,Lettere Apostoliche,L'Inno alla Carità che Non Tramonta Mai,1 Corinzi 13,20:00,"Ecco a voi in 2 minuti: il vertice della saggezza e della vita cristiana. «Se parlassi le lingue degli uomini e degli angeli, ma non avessi la carità, sarei un bronzo risonante. La carità è paziente, è benevola; la carità non è invidiosa, non si vanta, non si gonfia, non manca di rispetto, non cerca il proprio interesse, non tiene conto del male ricevuto. Tutto copre, tutto crede, tutto spera, tutto sopporta. La carità non tramonterà mai!» Rimangono fede, speranza e carità; ma di tutte la più grande è l'amore.",Pronto
197,Lettere Apostoliche,L'Armatura di Dio per la Vita dello Spirito,Efesini 6,20:00,"Ecco a voi in 2 minuti: le armi spirituali per rimanere saldi nella prova. Paolo esorta i credenti a rivestirsi dell'armatura divina: cingere i fianchi con la verità, rivestire la corazza della giustizia, calzare i piedi con la prontezza del vangelo della pace, afferrare lo scudo della fede per spegnere i dardi infuocati del male, e prendere l'elmo della salvezza e la spada dello Spirito, che è la parola di Dio. Con la preghiera costante si affronta ogni battaglia interiore con serenità incrollabile.",Pronto
198,Lettere Apostoliche,La Corsa Verso la Meta Celeste,Filippesi 3,20:00,"Ecco a voi in 2 minuti: lo sguardo proteso verso ciò che ha valore eterno. L'apostolo invita a non fermarsi ai traguardi umani del passato: «Dimenticando ciò che sta dietro e protendendomi verso ciò che mi sta di fronte, corro verso la meta, per il premio che Dio ci chiama a ricevere lassù.» La gioia interiore non dipende dalle circostanze esteriori, ma dalla consapevolezza di camminare verso la luce. Chi fissa lo sguardo sul bene supremo supera ogni affanno terreno con cuore risoluto.",Pronto
199,Lettere Apostoliche,La Riconciliazione Fraterna di Onesimo,Filemone 1,20:00,"Ecco a voi in 2 minuti: lo schiavo accolto come fratello carissimo. Dal carcere Paolo scrive all'amico Filemone rimandandogli Onesimo, suo schiavo fuggito che in prigione ha trovato la fede. Paolo supplica con amore: «Accoglilo non più come uno schiavo, ma come molto più di uno schiavo, come un fratello carissimo, sia nella carne sia nel Signore; accoglilo come me stesso!» Il vangelo spezza i vincoli della divisione sociale trasformando ogni rapporto umano nella dignità dell'amore fraterno.",Pronto
200,Lettere Apostoliche,La Nube dei Testimoni della Fede,Ebrei 11,20:00,"Ecco a voi in 2 minuti: l'eredità luminosa dei giusti di ogni tempo. «La fede è certezza di cose che si sperano, dimostrazione di realtà che non si vedono.» Da Abele a Noè, da Abramo a Mosè, schiere di uomini e donne hanno camminato nel mondo come pellegrini e stranieri, superando regni, tempeste e prove attraverso la fiducia incrollabile nelle promesse divine. Circondati da una così grande nube di testimoni, corriamo con perseveranza la nostra corsa custodendo pura la speranza nel cuore.",Pronto
ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
201,Lettere Apostoliche,La Fede Autentica Dimostrata dalle Opere,Giacomo 2,20:00,"Ecco a voi in 2 minuti: la fede viva che trasforma le parole in gesti concreti. L'apostolo Giacomo insegna che proclamare la fede senza metterla in pratica è come vedere un fratello affamato e privo di vestiti, dirgli «va' in pace e riscaldati», senza donargli il necessario per vivere. Come il corpo senza lo spirito è morto, così la fede senza le opere d'amore è sterile. Abramo e Raab dimostrarono la loro fiducia attraverso l'azione sincera. La credenza autentica fiorisce nell'accoglienza generosa del prossimo.",Pronto
202,Lettere Apostoliche,Il Freno alla Lingua e la Vera Sapienza,Giacomo 3,20:00,"Ecco a voi in 2 minuti: il potere delle parole e la saggezza mite. Una piccola scintilla può incendiare un'immensa foresta e un piccolo timone guida navi imponenti tra onde violente: allo stesso modo la lingua umana ha il potere di benedire o ferire. La sapienza che viene dall'alto è pura, pacifica, mite, ragionevole, piena di misericordia e di buoni frutti, senza doppiezza né ipocrisia. Chi semina nella pace raccoglie un frutto duraturo di giustizia. Misurare le parole custodisce l'anima e dona serenità a chi ascolta.",Pronto
203,Lettere Apostoliche,Le Pietre Vive del Tempio Spirituale,1 Pietro 2,20:00,"Ecco a voi in 2 minuti: la dignità donata a ogni credente. Pietro esorta ad accostarsi a Cristo, pietra viva scartata dagli uomini ma scelta e preziosa davanti a Dio. Anche voi, come pietre vive, siete edificati come edificio spirituale per offrire sacrifici graditi: «Voi siete una stirpe eletta, un sacerdozio regale, una nazione santa, un popolo acquistato da Dio, per proclamare le virtù di colui che vi ha chiamati dalle tenebre alla sua luce meravigliosa.» Ognuno ha un valore inestimabile nella dimora celeste.",Pronto
204,Lettere Apostoliche,Pronti a Rendere Ragione della Speranza,1 Pietro 3,20:00,"Ecco a voi in 2 minuti: la testimonianza luminosa e gentile nel mondo. L'apostolo esorta a non ripagare il male con il male né l'ingiuria con l'ingiuria, ma al contrario a benedire, custodendo la lingua dalle parole false. «Siate sempre pronti a rendere ragione della speranza che è in voi a chiunque ve la chieda, ma con dolcezza e rispetto, avendo una retta coscienza.» Vivere nella concordia e nella compassione reciproca è la via più sicura per vincere l'ostilità con il bene.",Pronto
205,Lettere Apostoliche,La Carità Premurosa che Copre i Peccati,1 Pietro 4,20:00,"Ecco a voi in 2 minuti: la vigilanza nell'amore e nell'ospitalità. Avvicinandosi la meta del cammino, l'apostolo invita a custodire la serenità per dedicarsi alla preghiera sincera: «Soprattutto abbiate un amore intenso e costante gli uni per gli altri, perché l'amore copre una moltitudine di peccati.» Praticate l'ospitalità reciproca senza mormorare e mettete a servizio degli altri il talento che ciascuno ha ricevuto, come buoni amministratori della multiforme grazia divina. La dedizione pura diffonde pace.",Pronto
206,Lettere Apostoliche,Gettare Ogni Ansietà sul Padre,1 Pietro 5,20:00,"Ecco a voi in 2 minuti: l'abbandono sereno nelle mani provvidenziali. Ai giovani e agli anziani della comunità viene ricordato di rivestirsi tutti di umiltà nei rapporti reciproci, poiché Dio resiste ai superbi ma fa grazia agli umili. «Umiliatevi dunque sotto la potente mano di Dio, affinché vi esalti a suo tempo, gettando su di lui ogni vostra ansietà, perché egli ha cura di voi!» Vegliate con fede salda nelle prove, sapendo che dopo aver sofferto per breve tempo, la grazia perfezionerà e renderà incrollabile il vostro cammino.",Pronto
207,Lettere Apostoliche,La Parola Profetica come Lampada nel Buio,2 Pietro 1,20:00,"Ecco a voi in 2 minuti: la luce affidabile che rischiara le notti del dubbio. Pietro ricorda di non aver seguito favole artificiose, ma di essere stato testimone oculare della maestà di Cristo sul monte santo. «Abbiamo la parola profetica più salda, alla quale fate bene a prestare attenzione, come a una lampada che splende in un luogo oscuro, finché non spunti il giorno e la stella del mattino sorga nei vostri cuori.» Nessuna profezia nasce da iniziativa umana, ma uomini santi hanno parlato mossi dallo Spirito.",Pronto
208,Lettere Apostoliche,Un Giorno è come Mille Anni per il Signore,2 Pietro 3,20:00,"Ecco a voi in 2 minuti: la pazienza infinita che attende il bene di tutti. A chi deride l'attesa del compimento delle promesse divine, Pietro ricorda che davanti all'Eterno un giorno solo è come mille anni e mille anni sono come un solo giorno: «Il Signore non ritarda l'adempimento della sua promessa, ma usa pazienza verso di voi, non volendo che alcuno perisca, ma che tutti giungano al ravvedimento.» Aspettiamo secondo la sua promessa nuovi cieli e una nuova terra, nei quali abiterà stabilmente la giustizia.",Pronto
209,Lettere Apostoliche,Camminare nella Luce della Comunione,1 Giovanni 1,20:00,"Ecco a voi in 2 minuti: la trasparenza che genera vera fratellanza. L'apostolo Giovanni annuncia ciò che ha udito, visto con i propri occhi e le sue mani hanno toccato riguardo alla parola della vita: «Dio è luce e in lui non ci sono affatto tenebre.» Se diciamo di essere in comunione con lui e camminiamo nel buio della menzogna, mentiamo a noi stessi; ma se camminiamo nella luce, siamo in vera comunione gli uni con gli altri e ogni colpa viene rimessa. La sincerità interiore rischiara ogni relazione umana.",Pronto
210,Lettere Apostoliche,Amare con i Fatti e nella Verità,1 Giovanni 3,20:00,"Ecco a voi in 2 minuti: la prova autentica dell'amore verso i fratelli. Giovanni esorta i credenti con dolcezza paterna: «Figlioli, non amiamo a parole né con la lingua, ma con i fatti e nella verità!» Da questo abbiamo conosciuto l'amore: egli ha dato la sua vita per noi, e anche noi dobbiamo dare noi stessi per i fratelli. Se uno possiede ricchezze terrene e vedendo il fratello nel bisogno gli chiude il proprio cuore, come dimora in lui l'amore divino? La generosità concreta rasserena la coscienza davanti a Dio.",Pronto
211,Lettere Apostoliche,Dio è Amore e Scaccia Ogni Paura,1 Giovanni 4,20:00,"Ecco a voi in 2 minuti: la rivelazione suprema della misericordia. «Carissimi, amiamoci gli uni gli altri, perché l'amore è da Dio: chiunque ama è nato da Dio e conosce Dio; chi non ama non ha conosciuto Dio, perché Dio è amore.» Nell'amore autentico non c'è timore, ma l'amore perfetto scaccia via ogni paura, perché la paura presuppone il castigo. Noi amiamo perché egli ci ha amati per primo. Se ci amiamo a vicenda, la presenza di Dio dimora saldamente in noi e la sua pace si fa perfetta.",Pronto
212,Lettere Apostoliche,La Vittoria che Vince il Mondo,1 Giovanni 5,20:00,"Ecco a voi in 2 minuti: la forza tranquilla della fede nel quotidiano. Chiunque crede che Gesù è il Cristo è nato da Dio, e chi ama il genitore ama anche i figli da lui generati. I comandamenti divini non sono gravosi né pesanti da portare: «Tutto ciò che è nato da Dio vince il mondo; e questa è la vittoria che ha vinto il mondo: la nostra fede.» Chi cammina nella fiducia serena non si lascia schiacciare dallo scoraggiamento terreno, ma custodisce una sorgente interiore di vita che non si estingue.",Pronto
213,Lettere Apostoliche,Camminare Insieme nella Verità e nell'Amore,2 Giovanni 1,20:00,"Ecco a voi in 2 minuti: il binomio inscindibile tra limpidezza e carità. L'anziano apostolo scrive alla comunità eletta rallegrandosi di aver trovato persone che camminano nella verità secondo il comandamento ricevuto. «Non vi scrivo un comandamento nuovo, ma quello che abbiamo avuto fin dal principio: che ci amiamo gli uni gli altri. Questo è l'amore: che camminiamo secondo i suoi precetti.» Custodire la verità senza rinunciare alla carità è la via maestra per preservare la concordia in ogni famiglia umana.",Pronto
214,Lettere Apostoliche,L'Ospitalità e la Collaborazione per il Bene,3 Giovanni 1,20:00,"Ecco a voi in 2 minuti: l'elogio dell'accoglienza disinteressata. Giovanni scrive al carissimo Gaio lodando la sua fedeltà: «Carissimo, tu agisci fedelmente in tutto ciò che fai per i fratelli, specialmente quando sono forestieri; essi hanno reso testimonianza alla tua carità davanti a tutti.» Sostenere chi si spende per il bene comune rende partecipi e cooperatori della verità stessa. Non imitare il male ma il bene: chi fa il bene viene da Dio e porta una luce duratura ovunque si trovi.",Pronto
215,Lettere Apostoliche,Conservarsi nell'Amore e Soccorrere i Deboli,Giuda 1,20:00,"Ecco a voi in 2 minuti: la custodia della fede e la compassione per chi dubita. La breve lettera di Giuda esorta con calore: «Voi, carissimi, edificando voi stessi sulla vostra santissima fede e pregando nello Spirito Santo, conservatevi nell'amore di Dio, aspettando la misericordia per la vita eterna.» Abbiate pietà di quelli che sono nel dubbio e soccorreteli con delicatezza traendoli in salvo. A colui che può preservare da ogni caduta e far comparire irreprensibili nella gioia, sia gloria e maestà per tutti i secoli.",Pronto
216,Apocalisse,La Visione di Giovanni a Patmos,Apocalisse 1,20:00,"Ecco a voi in 2 minuti: la voce potente come suono di molte acque. Esiliato nell'arida isola di Patmos per la parola di Dio, Giovanni nel giorno del Signore ode alle sue spalle una voce squillante come tromba. Voltandosi, vede sette candelabri d'oro e in mezzo a essi una figura simile al Figlio dell'uomo, con vesti candide, occhi come fiamma di fuoco e nella mano destra sette stelle. Cade ai suoi piedi come morto, ma egli posa la mano destra dicendo: «Non temere! Io sono il Primo e l'Ultimo, e il Vivente.» La vita supera l'esilio.",Pronto
217,Apocalisse,La Lettera a Efeso e il Ritorno al Primo Amore,Apocalisse 2,20:00,"Ecco a voi in 2 minuti: l'invito a ritrovare lo slancio interiore sincero. Alla comunità di Efeso viene riconosciuta la fatica, la costanza e il rifiuto del compromesso con il male. Eppure risuona un rimprovero salutare: «Ho questo contro di te: che hai abbandonato il tuo primo amore. Ricorda da dove sei caduto, ravvediti e torna a compiere le opere di prima!» A chi vince sarà dato di mangiare dell'albero della vita nel paradiso di Dio. L'operosità esteriore deve sempre alimentarsi del calore dell'amore originario.",Pronto
218,Apocalisse,La Corona della Vita alla Chiesa di Smirne,Apocalisse 2,20:00,"Ecco a voi in 2 minuti: la ricchezza spirituale che risplende nella povertà. Alla provata comunità di Smirne il Primo e l'Ultimo rivolge parole di immenso conforto: «Conosco la tua tribolazione, la tua povertà, eppure sei ricco! Non temere ciò che dovrai soffrire: sii fedele fino alla morte e ti darò la corona della vita.» Le difficoltà temporali non possono intaccare il valore interiore di chi ripone la propria speranza nell'Eterno. La fedeltà serena trasforma le prove in corone di gloria immortale.",Pronto
219,Apocalisse,La Stella del Mattino alla Chiesa di Tiatira,Apocalisse 2,20:00,"Ecco a voi in 2 minuti: il valore della costanza che persevera nel bene. Alla comunità di Tiatira vengono lodate la carità, la fede, il servizio e la pazienza, con opere recenti persino più numerose di quelle dell'inizio. L'invito divino è chiaro: «Quello che avete, custoditelo fermamente fino al mio ritorno! A chi vince e osserva le mie opere sino alla fine darò la stella del mattino.» Chi rimane fedele nella verità riceve la luce viva che precede il sorgere del giorno perfetto, guida sicura nel cammino.",Pronto
220,Apocalisse,Le Vesti Candide alla Chiesa di Sardi,Apocalisse 3,20:00,"Ecco a voi in 2 minuti: l'esortazione a ridestare la vita interiore assopita. Alla comunità di Sardi giunge un monito a non accontentarsi di un'apparenza esteriore rispettabile: «Sii vigilante e rafforza le cose che restano e stanno per morire; ricorda come hai ricevuto e ascoltato la Parola!» Chi sa custodire la purezza di cuore camminerà in candide vesti di luce e il suo nome non sarà mai cancellato dal libro della vita. La vigilanza sincera ridesta lo spirito e rigenera l'esistenza.",Pronto
221,Apocalisse,La Porta Aperta alla Chiesa di Filadelfia,Apocalisse 3,20:00,"Ecco a voi in 2 minuti: la porta che nessuno può chiudere dinanzi alla fedeltà. Alla piccola e umile comunità di Filadelfia viene rivolto un messaggio di consolazione straordinaria: «Conosco le tue opere: ecco, ho posto davanti a te una porta aperta che nessuno può chiudere, perché pur avendo poca forza hai custodito la mia parola e non hai rinnegato il mio nome.» Chi confida con umiltà non viene sopraffatto: diventerà una colonna salda nel tempio di Dio, portando impresso il nome della pace.",Pronto
222,Apocalisse,«Sto alla Porta e Busso»: L'Invito a Laodicea,Apocalisse 3,20:00,"Ecco a voi in 2 minuti: la voce sommessa che chiede accoglienza al cuore. Alla comunità tiepida di Laodicea viene svelata l'illusione delle ricchezze materiali per ritrovare l'oro puro provato col fuoco della carità: «Ecco, io sto alla porta e busso: se qualcuno ascolta la mia voce e apre la porta, io entrerò da lui e cenerò con lui ed egli con me.» Dio non forza mai la soglia dell'anima, ma attende con rispetto infinito che la libertà umana risponda all'invito d'amore per condividere la festa.",Pronto
223,Apocalisse,Il Trono Celeste e il Mare di Cristallo,Apocalisse 4,20:00,"Ecco a voi in 2 minuti: la liturgia radiosa della gloria eterna. Giovanni contempla una porta aperta nel cielo e un trono maestoso circondato da un arcobaleno simile a smeraldo. Davanti al trono si stende come un mare limpido di cristallo trasparente, mentre quattro creature viventi e ventiquattro anziani si prostrano gettando le loro corone d'oro e cantando senza sosta: «Degno sei, Signore e Dio nostro, di ricevere la gloria, l'onore e la potenza, perché tu hai creato tutte le cose.» Il cosmo intero trova pace nella lode.",Pronto
224,Apocalisse,Il Libro Sigillato e l'Agnello Vittorioso,Apocalisse 5,20:00,"Ecco a voi in 2 minuti: colui che è degno di dischiudere la storia. Nella mano destra di colui che siede sul trono vi è un libro scritto dentro e fuori, sigillato con sette sigilli. Giovanni piange perché nessuno in cielo o in terra può aprirlo. Ma un anziano gli dice: «Non piangere: ha vinto il Leone della tribù di Giuda!» Ed ecco appare un Agnello ritto come immolato, che prende il libro tra acclamazioni di miriadi di angeli con arpe d'oro e coppe d'incenso. La mansuetudine sacrificale guida il senso della storia.",Pronto
225,Apocalisse,La Moltitudine con le Palme della Vittoria,Apocalisse 7,20:00,"Ecco a voi in 2 minuti: la folla immensa radunata da ogni nazione. Giovanni vede una moltitudine immensa, che nessuno può contare, di ogni nazione, tribù, popolo e lingua, in piedi davanti al trono e davanti all'Agnello, avvolti in candide vesti e con rami di palma nelle mani. Gridano a gran voce: «La salvezza appartiene al nostro Dio e all'Agnello!» Hanno attraversato la grande prova lavando le loro vesti e ritrovando splendore. L'orizzonte ultimo dell'umanità è l'unità fraterna nella gioia eterna.",Pronto
226,Apocalisse,Dio Asciugherà Ogni Lacrima dai Loro Occhi,Apocalisse 7,20:00,"Ecco a voi in 2 minuti: la consolazione che guarisce ogni sofferenza terrena. «Essi non avranno più fame né avranno più sete, non li colpirà più il sole né arsura alcuna, perché l'Agnello che è in mezzo al trono sarà il loro pastore e li guiderà alle sorgenti delle acque della vita; e Dio asciugherà ogni lacrima dai loro occhi.» Nessun dolore patito nel nascondimento va perduto: la tenerezza divina trasforma ogni cicatrice terrena in sorgente perenne di pace e riposo indistruttibile.",Pronto
227,Apocalisse,Le Preghiere dei Santi e l'Incenso d'Oro,Apocalisse 8,20:00,"Ecco a voi in 2 minuti: il silenzio sacro e il profumo delle suppliche. Quando l'Agnello apre il settimo sigillo, si fa silenzio nel cielo per circa mezz'ora. Un angelo con un incensiere d'oro viene a mettersi presso l'altare, e gli viene data una grande quantità di profumi preziosi affinché li offra insieme alle preghiere di tutti i santi sul braciere dorato davanti al trono. Il fumo aromatico sale dritto al cospetto di Dio: ogni invocazione umile trova ascolto e compimento nell'alto dei cieli.",Pronto
228,Apocalisse,Il Piccolo Libro Dolce come il Miele,Apocalisse 10,20:00,"Ecco a voi in 2 minuti: la parola accolta nell'intimo della coscienza. Giovanni vede scendere dal cielo un angelo possente avvolto in una nube, con l'arcobaleno sul capo, che tiene in mano un libretto aperto. Una voce dal cielo ordina a Giovanni: «Va', prendi il libro e divoralo: sarà amaro nelle tue viscere, ma nella tua bocca sarà dolce come il miele!» La Parola di Dio dona una dolcezza infinita all'anima che la gusta, anche quando richiede impegno e coraggio per essere vissuta e testimoniata con fedeltà.",Pronto
229,Apocalisse,I Due Testimoni e il Soffio di Rinascita,Apocalisse 11,20:00,"Ecco a voi in 2 minuti: la testimonianza che risorge sopra ogni sopruso. Due testimoni fedeli proclamano la verità con fermezza; quando la loro voce sembra messa a tacere e il mondo festeggia la loro caduta, dopo tre giorni e mezzo uno spirito di vita inviato da Dio entra in essi e si alzano in piedi, mentre un grande timore scende su chi guarda. Una voce potente dal cielo li chiama: «Salite quassù!» e salgono nella gloria. La giustizia di Dio non resta mai sepolta sotto l'ingiustizia umana.",Pronto
230,Apocalisse,La Donna Vestita di Sole e le Dodici Stelle,Apocalisse 12,20:00,"Ecco a voi in 2 minuti: il segno grandioso apparso nel firmamento. Un segno grandioso appare nel cielo: una donna vestita di sole, con la luna sotto i suoi piedi e sul capo una corona di dodici stelle. Nonostante le insidie del drago dell'oscurità che tenta di divorare il figlio che sta per nascere, il bambino viene rapito verso Dio e verso il suo trono, e alla donna sono date le due ali della grande aquila per volare nel deserto al suo rifugio sicuro. La bellezza pura è custodita dalla provvidenza.",Pronto
231,Apocalisse,La Vittoria nel Dono dell'Agnello,Apocalisse 12,20:00,"Ecco a voi in 2 minuti: la sconfitta delle tenebre e il canto della liberazione. Scoppia una battaglia celeste: Michele e i suoi angeli combattono contro il drago antico e lo scacciano per sempre dal cielo. Risuona un canto di trionfo: «Ora si è compiuta la salvezza e il regno del nostro Dio, perché è stato precipitato l'accusatore dei nostri fratelli! Essi lo hanno vinto per mezzo del sangue dell'Agnello e della parola della loro testimonianza, non avendo amato la vita fino a perire.» Il bene vince sull'accusa.",Pronto
232,Apocalisse,Il Vangelo Eterno Annunciato alla Terra,Apocalisse 14,20:00,"Ecco a voi in 2 minuti: il messaggio perenne di speranza per ogni creatura. Giovanni vede un altro angelo che vola in mezzo al cielo, recando un vangelo eterno da annunciare a quanti abitano sulla terra, a ogni nazione, tribù, lingua e popolo. Grida con voce potente: «Temete Dio e dategli gloria, perché è giunta l'ora del suo giudizio; adorate colui che ha fatto il cielo, la terra, il mare e le sorgenti delle acque!» La verità del Creatore risuona perenne oltre il trascorrere effimero delle civiltà.",Pronto
